날짜,디지털/가전
2019-01-01,67
2019-01-02,75
2019-01-03,70
2019-01-04,64
2019-01-05,63
2019-01-06,72
2019-01-07,77
2019-01-08,72
2019-01-09,72
2019-01-10,64
2019-01-11,54
2019-01-12,54
2019-01-13,66
2019-01-14,78
2019-01-15,77
2019-01-16,70
2019-01-17,64
2019-01-18,57
2019-01-19,58
2019-01-20,67
2019-01-21,69
2019-01-22,67
2019-01-23,65
2019-01-24,62
2019-01-25,55
2019-01-26,55
2019-01-27,64
2019-01-28,68
2019-01-29,61
2019-01-30,57
2019-01-31,51
2019-02-01,47
2019-02-02,48
2019-02-03,52
2019-02-04,50
2019-02-05,55
2019-02-06,72
2019-02-07,78
2019-02-08,68
2019-02-09,68
2019-02-10,75
2019-02-11,76
2019-02-12,70
2019-02-13,68
2019-02-14,62
2019-02-15,57
2019-02-16,59
2019-02-17,69
2019-02-18,72
2019-02-19,68
2019-02-20,65
2019-02-21,64
2019-02-22,58
2019-02-23,60
2019-02-24,70
2019-02-25,72
2019-02-26,65
2019-02-27,63
2019-02-28,57
2019-03-01,66
2019-03-02,70
2019-03-03,79
2019-03-04,80
2019-03-05,100
2019-03-06,98
2019-03-07,85
2019-03-08,66
2019-03-09,65
2019-03-10,77
2019-03-11,74
2019-03-12,66
2019-03-13,65
2019-03-14,58
2019-03-15,55
2019-03-16,57
2019-03-17,66
2019-03-18,68
2019-03-19,63
2019-03-20,64
2019-03-21,62
2019-03-22,54
2019-03-23,54
2019-03-24,61
2019-03-25,67
2019-03-26,62
2019-03-27,60
2019-03-28,55
2019-03-29,47
2019-03-30,51
2019-03-31,59
2019-04-01,65
2019-04-02,60
2019-04-03,58
2019-04-04,54
2019-04-05,47
2019-04-06,48
2019-04-07,57
2019-04-08,61
2019-04-09,58
2019-04-10,59
2019-04-11,55
2019-04-12,48
2019-04-13,46
2019-04-14,58
2019-04-15,60
2019-04-16,56
2019-04-17,56
2019-04-18,54
2019-04-19,48
2019-04-20,48
2019-04-21,57
2019-04-22,62
2019-04-23,61
2019-04-24,60
2019-04-25,56
2019-04-26,50
2019-04-27,47
2019-04-28,56
2019-04-29,63
2019-04-30,54
2019-05-01,60
2019-05-02,57
2019-05-03,48
2019-05-04,48
2019-05-05,51
2019-05-06,60
2019-05-07,61
2019-05-08,57
2019-05-09,55
2019-05-10,50
2019-05-11,50
2019-05-12,60
2019-05-13,64
2019-05-14,61
2019-05-15,61
2019-05-16,63
2019-05-17,56
2019-05-18,53
2019-05-19,65
2019-05-20,70
2019-05-21,61
2019-05-22,60
2019-05-23,58
2019-05-24,56
2019-05-25,55
2019-05-26,64
2019-05-27,71
2019-05-28,63
2019-05-29,60
2019-05-30,55
2019-05-31,48
2019-06-01,50
2019-06-02,60
2019-06-03,65
2019-06-04,63
2019-06-05,58
2019-06-06,62
2019-06-07,56
2019-06-08,52
2019-06-09,62
2019-06-10,67
2019-06-11,64
2019-06-12,62
2019-06-13,59
2019-06-14,52
2019-06-15,51
2019-06-16,60
2019-06-17,66
2019-06-18,63
2019-06-19,63
2019-06-20,60
2019-06-21,55
2019-06-22,52
2019-06-23,61
2019-06-24,69
2019-06-25,66
2019-06-26,66
2019-06-27,62
2019-06-28,57
2019-06-29,57
2019-06-30,68
2019-07-01,75
2019-07-02,69
2019-07-03,65
2019-07-04,63
2019-07-05,57
2019-07-06,56
2019-07-07,65
2019-07-08,69
2019-07-09,64
2019-07-10,64
2019-07-11,61
2019-07-12,53
2019-07-13,54
2019-07-14,64
2019-07-15,70
2019-07-16,67
2019-07-17,66
2019-07-18,65
2019-07-19,58
2019-07-20,60
2019-07-21,70
2019-07-22,75
2019-07-23,74
2019-07-24,73
2019-07-25,70
2019-07-26,62
2019-07-27,61
2019-07-28,70
2019-07-29,72
2019-07-30,69
2019-07-31,69
2019-08-01,69
2019-08-02,61
2019-08-03,59
2019-08-04,69
2019-08-05,76
2019-08-06,74
2019-08-07,71
2019-08-08,69
2019-08-09,61
2019-08-10,60
2019-08-11,69
2019-08-12,73
2019-08-13,71
2019-08-14,65
2019-08-15,67
2019-08-16,63
2019-08-17,60
2019-08-18,66
2019-08-19,72
2019-08-20,73
2019-08-21,71
2019-08-22,68
2019-08-23,61
2019-08-24,58
2019-08-25,67
2019-08-26,73
2019-08-27,71
2019-08-28,70
2019-08-29,67
2019-08-30,59
2019-08-31,58
2019-09-01,74
2019-09-02,76
2019-09-03,73
2019-09-04,71
2019-09-05,69
2019-09-06,62
2019-09-07,65
2019-09-08,73
2019-09-09,69
2019-09-10,60
2019-09-11,55
2019-09-12,55
2019-09-13,57
2019-09-14,66
2019-09-15,81
2019-09-16,88
2019-09-17,80
2019-09-18,76
2019-09-19,70
2019-09-20,60
2019-09-21,61
2019-09-22,73
2019-09-23,75
2019-09-24,70
2019-09-25,68
2019-09-26,64
2019-09-27,57
2019-09-28,55
2019-09-29,66
2019-09-30,73
2019-10-01,73
2019-10-02,66
2019-10-03,66
2019-10-04,61
2019-10-05,58
2019-10-06,68
2019-10-07,74
2019-10-08,64
2019-10-09,69
2019-10-10,72
2019-10-11,62
2019-10-12,59
2019-10-13,69
2019-10-14,73
2019-10-15,70
2019-10-16,69
2019-10-17,65
2019-10-18,60
2019-10-19,57
2019-10-20,69
2019-10-21,75
2019-10-22,71
2019-10-23,68
2019-10-24,65
2019-10-25,58
2019-10-26,58
2019-10-27,70
2019-10-28,80
2019-10-29,76
2019-10-30,71
2019-10-31,65
2019-11-01,72
2019-11-02,68
2019-11-03,78
2019-11-04,81
2019-11-05,77
2019-11-06,74
2019-11-07,70
2019-11-08,64
2019-11-09,62
2019-11-10,75
2019-11-11,82
2019-11-12,78
2019-11-13,76
2019-11-14,73
2019-11-15,65
2019-11-16,62
2019-11-17,77
2019-11-18,81
2019-11-19,78
2019-11-20,75
2019-11-21,70
2019-11-22,60
2019-11-23,58
2019-11-24,69
2019-11-25,78
2019-11-26,74
2019-11-27,72
2019-11-28,69
2019-11-29,62
2019-11-30,62
2019-12-01,79
2019-12-02,80
2019-12-03,77
2019-12-04,72
2019-12-05,71
2019-12-06,66
2019-12-07,63
2019-12-08,75
2019-12-09,80
2019-12-10,77
2019-12-11,76
2019-12-12,70
2019-12-13,62
2019-12-14,60
2019-12-15,73
2019-12-16,76
2019-12-17,72
2019-12-18,66
2019-12-19,62
2019-12-20,56
2019-12-21,55
2019-12-22,65
2019-12-23,65
2019-12-24,53
2019-12-25,60
2019-12-26,64
2019-12-27,57
2019-12-28,58
2019-12-29,66
2019-12-30,64
2019-12-31,55
2020-01-01,66
