날짜,건강식품,다이어트식품
2019-01-01,44,16
2019-01-02,54,19
2019-01-03,49,19
2019-01-04,46,16
2019-01-05,44,14
2019-01-06,49,17
2019-01-07,58,21
2019-01-08,57,20
2019-01-09,56,18
2019-01-10,53,17
2019-01-11,43,14
2019-01-12,36,12
2019-01-13,43,16
2019-01-14,56,18
2019-01-15,52,17
2019-01-16,56,16
2019-01-17,52,16
2019-01-18,48,14
2019-01-19,45,12
2019-01-20,53,15
2019-01-21,66,17
2019-01-22,70,17
2019-01-23,67,17
2019-01-24,61,16
2019-01-25,56,13
2019-01-26,53,12
2019-01-27,60,14
2019-01-28,79,17
2019-01-29,70,16
2019-01-30,59,15
2019-01-31,46,13
2019-02-01,40,11
2019-02-02,35,11
2019-02-03,36,11
2019-02-04,32,10
2019-02-05,38,12
2019-02-06,49,16
2019-02-07,58,21
2019-02-08,50,17
2019-02-09,43,16
2019-02-10,52,18
2019-02-11,58,21
2019-02-12,57,20
2019-02-13,52,18
2019-02-14,46,17
2019-02-15,41,15
2019-02-16,39,14
2019-02-17,44,18
2019-02-18,54,20
2019-02-19,54,19
2019-02-20,51,19
2019-02-21,46,18
2019-02-22,39,15
2019-02-23,36,13
2019-02-24,46,16
2019-02-25,54,19
2019-02-26,48,18
2019-02-27,46,18
2019-02-28,42,15
2019-03-01,41,14
2019-03-02,42,14
2019-03-03,46,17
2019-03-04,51,18
2019-03-05,50,17
2019-03-06,49,16
2019-03-07,46,16
2019-03-08,41,15
2019-03-09,39,14
2019-03-10,47,17
2019-03-11,51,19
2019-03-12,49,18
2019-03-13,47,19
2019-03-14,43,16
2019-03-15,39,15
2019-03-16,36,13
2019-03-17,44,16
2019-03-18,52,19
2019-03-19,51,19
2019-03-20,52,18
2019-03-21,47,18
2019-03-22,42,15
2019-03-23,39,13
2019-03-24,43,17
2019-03-25,55,21
2019-03-26,52,19
2019-03-27,51,19
2019-03-28,46,18
2019-03-29,38,14
2019-03-30,37,13
2019-03-31,42,18
2019-04-01,53,20
2019-04-02,49,19
2019-04-03,47,18
2019-04-04,44,17
2019-04-05,35,13
2019-04-06,32,12
2019-04-07,37,16
2019-04-08,46,17
2019-04-09,44,17
2019-04-10,46,17
2019-04-11,48,16
2019-04-12,36,12
2019-04-13,33,12
2019-04-14,43,15
2019-04-15,48,17
2019-04-16,45,16
2019-04-17,45,20
2019-04-18,44,17
2019-04-19,37,14
2019-04-20,33,12
2019-04-21,41,15
2019-04-22,48,17
2019-04-23,48,17
2019-04-24,47,19
2019-04-25,45,17
2019-04-26,42,14
2019-04-27,35,12
2019-04-28,44,16
2019-04-29,57,17
2019-04-30,50,14
2019-05-01,55,16
2019-05-02,55,15
2019-05-03,44,12
2019-05-04,36,15
2019-05-05,38,12
2019-05-06,53,17
2019-05-07,55,17
2019-05-08,60,16
2019-05-09,56,16
2019-05-10,46,13
2019-05-11,42,12
2019-05-12,47,17
2019-05-13,60,19
2019-05-14,58,17
2019-05-15,53,17
2019-05-16,51,15
2019-05-17,45,13
2019-05-18,36,13
2019-05-19,47,15
2019-05-20,55,17
2019-05-21,55,17
2019-05-22,55,17
2019-05-23,51,15
2019-05-24,45,13
2019-05-25,38,12
2019-05-26,44,15
2019-05-27,58,19
2019-05-28,56,21
2019-05-29,56,24
2019-05-30,53,18
2019-05-31,46,14
2019-06-01,43,15
2019-06-02,49,16
2019-06-03,61,21
2019-06-04,67,20
2019-06-05,53,18
2019-06-06,48,19
2019-06-07,48,16
2019-06-08,43,16
2019-06-09,52,18
2019-06-10,67,21
2019-06-11,66,22
2019-06-12,62,20
2019-06-13,58,18
2019-06-14,48,15
2019-06-15,41,13
2019-06-16,50,15
2019-06-17,63,21
2019-06-18,64,20
2019-06-19,61,21
2019-06-20,59,18
2019-06-21,49,15
2019-06-22,42,12
2019-06-23,47,17
2019-06-24,62,19
2019-06-25,64,19
2019-06-26,60,19
2019-06-27,52,17
2019-06-28,45,14
2019-06-29,42,15
2019-06-30,52,18
2019-07-01,67,20
2019-07-02,62,20
2019-07-03,60,19
2019-07-04,54,18
2019-07-05,47,16
2019-07-06,41,13
2019-07-07,48,17
2019-07-08,61,20
2019-07-09,65,20
2019-07-10,60,19
2019-07-11,59,19
2019-07-12,49,14
2019-07-13,43,16
2019-07-14,50,17
2019-07-15,65,19
2019-07-16,62,19
2019-07-17,59,19
2019-07-18,58,18
2019-07-19,48,16
2019-07-20,45,15
2019-07-21,49,18
2019-07-22,61,21
2019-07-23,60,22
2019-07-24,57,19
2019-07-25,53,18
2019-07-26,46,15
2019-07-27,41,12
2019-07-28,46,16
2019-07-29,54,18
2019-07-30,53,17
2019-07-31,52,17
2019-08-01,53,18
2019-08-02,44,14
2019-08-03,40,13
2019-08-04,49,17
2019-08-05,59,19
2019-08-06,62,20
2019-08-07,62,19
2019-08-08,59,19
2019-08-09,48,15
2019-08-10,45,15
2019-08-11,51,16
2019-08-12,64,19
2019-08-13,64,19
2019-08-14,55,17
2019-08-15,52,16
2019-08-16,52,14
2019-08-17,48,14
2019-08-18,51,16
2019-08-19,70,20
2019-08-20,72,19
2019-08-21,74,20
2019-08-22,67,19
2019-08-23,63,16
2019-08-24,52,16
2019-08-25,61,19
2019-08-26,85,21
2019-08-27,85,21
2019-08-28,83,20
2019-08-29,78,21
2019-08-30,69,18
2019-08-31,62,14
2019-09-01,81,19
2019-09-02,100,21
2019-09-03,99,21
2019-09-04,98,20
2019-09-05,95,19
2019-09-06,76,16
2019-09-07,67,15
2019-09-08,72,19
2019-09-09,79,18
2019-09-10,62,15
2019-09-11,53,12
2019-09-12,44,10
2019-09-13,44,11
2019-09-14,56,15
2019-09-15,68,18
2019-09-16,94,23
2019-09-17,80,22
2019-09-18,75,21
2019-09-19,68,18
2019-09-20,56,15
2019-09-21,49,14
2019-09-22,59,18
2019-09-23,71,18
2019-09-24,69,18
2019-09-25,69,16
2019-09-26,65,16
2019-09-27,56,14
2019-09-28,47,12
2019-09-29,56,15
2019-09-30,71,21
2019-10-01,73,20
2019-10-02,64,17
2019-10-03,55,18
2019-10-04,57,15
2019-10-05,49,15
2019-10-06,59,16
2019-10-07,75,18
2019-10-08,59,15
2019-10-09,59,19
