날짜,축산,수산,농산물
2019-01-01,30,28,45
2019-01-02,43,36,53
2019-01-03,43,36,50
2019-01-04,35,29,43
2019-01-05,29,25,38
2019-01-06,36,32,50
2019-01-07,47,36,60
2019-01-08,47,37,57
2019-01-09,49,37,55
2019-01-10,40,33,49
2019-01-11,30,25,40
2019-01-12,25,21,34
2019-01-13,31,25,47
2019-01-14,41,33,56
2019-01-15,41,35,53
2019-01-16,43,36,53
2019-01-17,44,35,52
2019-01-18,35,29,45
2019-01-19,29,27,41
2019-01-20,39,33,55
2019-01-21,54,41,69
2019-01-22,54,40,70
2019-01-23,53,40,69
2019-01-24,51,38,65
2019-01-25,44,34,60
2019-01-26,39,30,54
2019-01-27,54,39,72
2019-01-28,74,50,98
2019-01-29,69,46,87
2019-01-30,55,37,69
2019-01-31,39,27,45
2019-02-01,29,20,35
2019-02-02,24,21,30
2019-02-03,22,19,30
2019-02-04,19,16,28
2019-02-05,17,16,28
2019-02-06,24,21,44
2019-02-07,32,27,53
2019-02-08,28,24,45
2019-02-09,25,21,41
2019-02-10,32,26,53
2019-02-11,38,31,60
2019-02-12,37,30,55
2019-02-13,39,29,51
2019-02-14,35,26,45
2019-02-15,28,23,38
2019-02-16,23,21,36
2019-02-17,29,23,45
2019-02-18,38,28,55
2019-02-19,38,29,53
2019-02-20,38,27,49
2019-02-21,37,27,44
2019-02-22,27,21,37
2019-02-23,23,19,34
2019-02-24,29,23,44
2019-02-25,36,27,51
2019-02-26,35,28,48
2019-02-27,34,25,45
2019-02-28,26,20,36
2019-03-01,24,22,37
2019-03-02,23,20,37
2019-03-03,29,24,47
2019-03-04,34,25,49
2019-03-05,40,26,48
2019-03-06,37,26,45
2019-03-07,35,25,43
2019-03-08,28,20,35
2019-03-09,22,19,33
2019-03-10,31,25,46
2019-03-11,38,27,51
2019-03-12,35,27,47
2019-03-13,35,29,45
2019-03-14,31,27,40
2019-03-15,27,22,34
2019-03-16,22,22,31
2019-03-17,27,22,41
2019-03-18,37,27,49
2019-03-19,36,26,46
2019-03-20,36,28,48
2019-03-21,37,27,42
2019-03-22,28,21,35
2019-03-23,23,19,32
2019-03-24,29,23,49
2019-03-25,41,29,57
2019-03-26,41,26,50
2019-03-27,37,27,47
2019-03-28,33,24,41
2019-03-29,25,19,33
2019-03-30,22,18,33
2019-03-31,28,21,44
2019-04-01,39,25,55
2019-04-02,36,24,49
2019-04-03,35,25,47
2019-04-04,37,24,42
2019-04-05,25,18,36
2019-04-06,22,17,32
2019-04-07,27,22,42
2019-04-08,37,25,52
2019-04-09,39,25,52
2019-04-10,39,27,47
2019-04-11,36,25,42
2019-04-12,28,20,34
2019-04-13,21,17,30
2019-04-14,28,23,45
2019-04-15,35,25,52
2019-04-16,37,24,47
2019-04-17,36,23,45
2019-04-18,35,22,42
2019-04-19,26,18,34
2019-04-20,21,16,30
2019-04-21,27,20,39
2019-04-22,36,24,47
2019-04-23,40,23,45
2019-04-24,37,21,42
2019-04-25,36,22,41
2019-04-26,28,18,34
2019-04-27,21,14,29
2019-04-28,27,19,38
2019-04-29,38,25,49
2019-04-30,36,21,40
2019-05-01,35,24,43
2019-05-02,38,23,42
2019-05-03,27,17,33
2019-05-04,20,17,28
2019-05-05,21,17,30
2019-05-06,29,24,42
2019-05-07,38,27,47
2019-05-08,37,25,46
2019-05-09,36,23,43
2019-05-10,30,18,35
2019-05-11,23,16,31
2019-05-12,30,21,40
2019-05-13,41,25,51
2019-05-14,41,22,49
2019-05-15,38,22,50
2019-05-16,38,20,46
2019-05-17,29,17,37
2019-05-18,24,16,33
2019-05-19,33,22,48
2019-05-20,41,25,52
2019-05-21,40,24,49
2019-05-22,40,23,47
2019-05-23,36,22,44
2019-05-24,29,17,36
2019-05-25,24,17,31
2019-05-26,29,21,41
2019-05-27,46,29,56
2019-05-28,44,25,56
2019-05-29,41,24,50
2019-05-30,38,23,47
2019-05-31,31,19,40
2019-06-01,27,18,38
2019-06-02,33,22,47
2019-06-03,46,27,60
2019-06-04,46,26,59
2019-06-05,39,23,48
2019-06-06,37,24,49
2019-06-07,35,21,45
2019-06-08,26,19,39
2019-06-09,35,25,55
2019-06-10,49,29,66
2019-06-11,48,27,64
2019-06-12,46,28,61
2019-06-13,44,26,57
2019-06-14,36,22,47
2019-06-15,27,19,40
2019-06-16,36,22,52
2019-06-17,47,28,66
2019-06-18,50,28,65
2019-06-19,47,26,60
2019-06-20,45,24,56
2019-06-21,35,21,47
2019-06-22,27,18,41
2019-06-23,32,21,52
2019-06-24,45,25,67
2019-06-25,46,25,67
2019-06-26,47,25,62
2019-06-27,43,23,57
2019-06-28,36,19,49
2019-06-29,29,18,46
2019-06-30,37,22,55
2019-07-01,49,26,69
2019-07-02,46,26,65
2019-07-03,49,25,62
2019-07-04,49,24,57
2019-07-05,35,20,47
2019-07-06,26,17,39
2019-07-07,36,21,52
2019-07-08,49,28,63
2019-07-09,50,28,60
2019-07-10,52,26,61
2019-07-11,48,24,55
2019-07-12,35,18,44
2019-07-13,26,16,47
2019-07-14,34,20,51
2019-07-15,48,25,62
2019-07-16,49,25,55
2019-07-17,48,24,54
2019-07-18,46,25,53
2019-07-19,37,21,42
2019-07-20,32,20,39
2019-07-21,36,24,46
2019-07-22,47,26,54
2019-07-23,48,26,52
2019-07-24,48,30,50
2019-07-25,47,31,48
2019-07-26,36,24,40
2019-07-27,30,18,34
2019-07-28,36,20,42
2019-07-29,47,24,50
2019-07-30,45,24,48
2019-07-31,45,26,45
2019-08-01,42,24,48
2019-08-02,35,20,39
2019-08-03,28,18,34
2019-08-04,33,22,44
2019-08-05,47,25,57
2019-08-06,52,27,57
2019-08-07,49,28,54
2019-08-08,45,27,50
2019-08-09,37,21,43
2019-08-10,27,18,38
2019-08-11,35,22,47
2019-08-12,47,29,59
2019-08-13,46,29,56
2019-08-14,36,25,47
2019-08-15,37,24,47
2019-08-16,34,23,44
2019-08-17,29,20,40
2019-08-18,34,24,50
2019-08-19,51,31,63
2019-08-20,54,33,61
2019-08-21,55,34,62
2019-08-22,50,32,59
2019-08-23,40,29,51
2019-08-24,31,24,44
2019-08-25,39,29,56
2019-08-26,57,39,72
2019-08-27,60,38,70
2019-08-28,58,38,70
2019-08-29,58,38,69
2019-08-30,44,30,56
2019-08-31,38,28,53
2019-09-01,55,38,80
2019-09-02,76,49,100
2019-09-03,81,52,100
2019-09-04,79,51,99
2019-09-05,78,51,98
2019-09-06,65,42,81
2019-09-07,58,37,68
2019-09-08,61,38,75
2019-09-09,64,40,82
2019-09-10,44,30,52
2019-09-11,32,23,39
2019-09-12,23,17,32
2019-09-13,18,15,30
2019-09-14,21,18,37
2019-09-15,29,25,50
2019-09-16,46,31,67
2019-09-17,47,31,61
2019-09-18,45,30,60
2019-09-19,39,29,53
2019-09-20,31,23,45
2019-09-21,32,22,42
2019-09-22,37,28,56
2019-09-23,48,32,63
2019-09-24,45,32,59
2019-09-25,43,35,55
2019-09-26,41,32,52
2019-09-27,38,26,44
2019-09-28,26,24,40
2019-09-29,34,31,52
2019-09-30,47,35,61
2019-10-01,47,37,60
2019-10-02,42,32,51
2019-10-03,35,30,50
2019-10-04,32,27,48
2019-10-05,27,27,44
2019-10-06,34,31,54
2019-10-07,48,38,66
2019-10-08,39,30,56
2019-10-09,37,31,57
2019-10-10,40,32,59
2019-10-11,34,27,49
2019-10-12,27,24,44
2019-10-13,33,29,57
2019-10-14,44,34,65
2019-10-15,46,34,62
2019-10-16,44,35,59
2019-10-17,40,33,55
2019-10-18,32,27,47
2019-10-19,25,23,39
2019-10-20,33,31,54
2019-10-21,43,36,63
2019-10-22,43,34,59
2019-10-23,41,35,56
2019-10-24,38,33,52
2019-10-25,30,27,44
2019-10-26,23,22,38
2019-10-27,31,29,50
2019-10-28,43,35,62
2019-10-29,44,35,59
2019-10-30,43,35,54
2019-10-31,39,31,49
2019-11-01,33,27,45
2019-11-02,27,25,43
2019-11-03,34,33,53
2019-11-04,45,39,61
2019-11-05,44,41,61
2019-11-06,46,41,58
2019-11-07,41,36,53
2019-11-08,32,29,43
2019-11-09,27,24,39
2019-11-10,35,31,52
2019-11-11,45,36,59
2019-11-12,43,37,56
2019-11-13,43,41,54
2019-11-14,39,39,50
2019-11-15,33,29,42
2019-11-16,25,24,39
2019-11-17,35,33,53
2019-11-18,46,42,60
2019-11-19,45,40,57
2019-11-20,43,38,53
2019-11-21,39,36,48
2019-11-22,31,29,41
2019-11-23,25,23,38
2019-11-24,33,29,48
2019-11-25,46,37,59
2019-11-26,45,36,58
2019-11-27,48,37,54
2019-11-28,44,34,49
2019-11-29,32,27,40
2019-11-30,27,22,39
2019-12-01,38,31,55
2019-12-02,48,36,60
2019-12-03,48,36,58
2019-12-04,44,37,54
2019-12-05,40,40,50
2019-12-06,34,31,44
2019-12-07,27,25,39
2019-12-08,34,32,51
2019-12-09,46,39,60
2019-12-10,48,37,57
2019-12-11,47,38,56
2019-12-12,41,37,50
2019-12-13,32,31,43
2019-12-14,27,25,39
2019-12-15,35,34,53
2019-12-16,47,38,60
2019-12-17,47,40,59
2019-12-18,44,39,55
2019-12-19,42,37,48
2019-12-20,35,31,40
2019-12-21,30,27,35
2019-12-22,36,36,46
2019-12-23,42,38,48
2019-12-24,29,26,35
2019-12-25,30,30,38
2019-12-26,41,38,49
2019-12-27,36,33,43
2019-12-28,29,29,39
2019-12-29,37,36,48
2019-12-30,42,36,48
2019-12-31,32,25,37
2020-01-01,35,29,46
