날짜,여성의류,남성의류
2019-01-01,57,11
2019-01-02,57,11
2019-01-03,55,10
2019-01-04,52,8
2019-01-05,57,9
2019-01-06,67,11
2019-01-07,62,10
2019-01-08,60,9
2019-01-09,60,9
2019-01-10,50,8
2019-01-11,37,6
2019-01-12,39,6
2019-01-13,46,8
2019-01-14,43,7
2019-01-15,42,6
2019-01-16,43,7
2019-01-17,41,6
2019-01-18,37,6
2019-01-19,40,6
2019-01-20,49,8
2019-01-21,46,7
2019-01-22,46,7
2019-01-23,46,6
2019-01-24,42,6
2019-01-25,37,5
2019-01-26,40,6
2019-01-27,48,7
2019-01-28,45,7
2019-01-29,42,6
2019-01-30,38,6
2019-01-31,33,5
2019-02-01,29,5
2019-02-02,33,5
2019-02-03,38,6
2019-02-04,35,6
2019-02-05,34,6
2019-02-06,43,8
2019-02-07,44,8
2019-02-08,40,7
2019-02-09,45,8
2019-02-10,55,10
2019-02-11,48,9
2019-02-12,46,8
2019-02-13,46,7
2019-02-14,41,6
2019-02-15,38,6
2019-02-16,42,6
2019-02-17,53,8
2019-02-18,48,8
2019-02-19,47,7
2019-02-20,45,7
2019-02-21,42,6
2019-02-22,39,6
2019-02-23,44,6
2019-02-24,57,8
2019-02-25,51,8
2019-02-26,48,7
2019-02-27,46,7
2019-02-28,40,6
2019-03-01,48,8
2019-03-02,53,8
2019-03-03,61,10
2019-03-04,49,8
2019-03-05,47,8
2019-03-06,48,8
2019-03-07,46,7
2019-03-08,42,7
2019-03-09,49,8
2019-03-10,62,11
2019-03-11,51,9
2019-03-12,47,8
2019-03-13,44,7
2019-03-14,41,6
2019-03-15,40,6
2019-03-16,45,7
2019-03-17,57,10
2019-03-18,50,9
2019-03-19,50,8
2019-03-20,49,9
2019-03-21,45,7
2019-03-22,39,6
2019-03-23,44,7
2019-03-24,52,9
2019-03-25,48,8
2019-03-26,48,8
2019-03-27,46,7
2019-03-28,42,6
2019-03-29,37,6
2019-03-30,41,7
2019-03-31,49,8
2019-04-01,45,8
2019-04-02,45,7
2019-04-03,44,7
2019-04-04,41,6
2019-04-05,36,6
2019-04-06,41,6
2019-04-07,50,9
2019-04-08,48,8
2019-04-09,46,7
2019-04-10,43,7
2019-04-11,41,6
2019-04-12,36,6
2019-04-13,38,6
2019-04-14,48,8
2019-04-15,44,8
2019-04-16,44,7
2019-04-17,43,7
2019-04-18,40,6
2019-04-19,34,5
2019-04-20,38,6
2019-04-21,46,8
2019-04-22,45,8
2019-04-23,43,7
2019-04-24,41,7
2019-04-25,38,6
2019-04-26,32,5
2019-04-27,34,6
2019-04-28,42,7
2019-04-29,40,7
2019-04-30,35,6
2019-05-01,41,7
2019-05-02,39,7
2019-05-03,33,5
2019-05-04,34,6
2019-05-05,37,6
2019-05-06,44,8
2019-05-07,41,7
2019-05-08,39,7
2019-05-09,39,6
2019-05-10,35,5
2019-05-11,38,6
2019-05-12,48,8
2019-05-13,46,8
2019-05-14,47,8
2019-05-15,48,7
2019-05-16,47,7
2019-05-17,41,6
2019-05-18,41,6
2019-05-19,51,8
2019-05-20,47,8
2019-05-21,47,7
2019-05-22,47,7
2019-05-23,44,6
2019-05-24,40,5
2019-05-25,41,6
2019-05-26,52,8
2019-05-27,48,7
2019-05-28,47,7
2019-05-29,47,6
2019-05-30,43,6
2019-05-31,36,5
2019-06-01,40,5
2019-06-02,50,7
2019-06-03,49,7
2019-06-04,49,7
2019-06-05,43,6
2019-06-06,48,6
2019-06-07,40,5
2019-06-08,42,6
2019-06-09,52,7
2019-06-10,48,7
2019-06-11,49,7
2019-06-12,48,6
2019-06-13,45,6
2019-06-14,39,5
2019-06-15,41,5
2019-06-16,49,6
2019-06-17,48,7
2019-06-18,48,6
2019-06-19,46,6
2019-06-20,44,5
2019-06-21,39,5
2019-06-22,39,5
2019-06-23,48,6
2019-06-24,48,6
2019-06-25,48,6
2019-06-26,47,6
2019-06-27,41,5
2019-06-28,37,5
2019-06-29,40,5
2019-06-30,50,6
