날짜,화장품/미용
2019-01-01,82
2019-01-02,89
2019-01-03,83
2019-01-04,78
2019-01-05,78
2019-01-06,91
2019-01-07,92
2019-01-08,89
2019-01-09,86
2019-01-10,81
2019-01-11,68
2019-01-12,68
2019-01-13,78
2019-01-14,79
2019-01-15,77
2019-01-16,77
2019-01-17,78
2019-01-18,70
2019-01-19,66
2019-01-20,78
2019-01-21,83
2019-01-22,82
2019-01-23,81
2019-01-24,74
2019-01-25,68
2019-01-26,68
2019-01-27,78
2019-01-28,86
2019-01-29,79
2019-01-30,73
2019-01-31,64
2019-02-01,60
2019-02-02,60
2019-02-03,62
2019-02-04,60
2019-02-05,65
2019-02-06,86
2019-02-07,100
2019-02-08,87
2019-02-09,86
2019-02-10,95
2019-02-11,97
2019-02-12,90
2019-02-13,90
2019-02-14,82
2019-02-15,72
2019-02-16,72
2019-02-17,83
2019-02-18,84
2019-02-19,82
2019-02-20,79
2019-02-21,75
2019-02-22,67
2019-02-23,68
2019-02-24,79
2019-02-25,81
2019-02-26,76
2019-02-27,73
2019-02-28,65
2019-03-01,75
2019-03-02,72
2019-03-03,78
2019-03-04,82
2019-03-05,78
2019-03-06,72
2019-03-07,71
2019-03-08,67
2019-03-09,68
2019-03-10,83
2019-03-11,74
2019-03-12,69
2019-03-13,70
2019-03-14,66
2019-03-15,60
2019-03-16,62
2019-03-17,74
2019-03-18,78
2019-03-19,72
2019-03-20,72
2019-03-21,67
2019-03-22,61
2019-03-23,61
2019-03-24,70
2019-03-25,78
2019-03-26,74
2019-03-27,69
2019-03-28,63
2019-03-29,54
2019-03-30,57
2019-03-31,70
2019-04-01,80
2019-04-02,74
2019-04-03,70
2019-04-04,66
2019-04-05,58
2019-04-06,58
2019-04-07,70
2019-04-08,74
2019-04-09,73
2019-04-10,70
2019-04-11,68
2019-04-12,58
2019-04-13,56
2019-04-14,70
2019-04-15,73
2019-04-16,68
2019-04-17,68
2019-04-18,65
2019-04-19,56
2019-04-20,56
2019-04-21,67
2019-04-22,70
2019-04-23,69
2019-04-24,65
2019-04-25,65
2019-04-26,57
2019-04-27,54
2019-04-28,65
2019-04-29,71
2019-04-30,65
2019-05-01,76
2019-05-02,72
2019-05-03,60
2019-05-04,56
2019-05-05,59
2019-05-06,74
2019-05-07,77
2019-05-08,76
2019-05-09,73
2019-05-10,66
2019-05-11,63
2019-05-12,72
2019-05-13,79
2019-05-14,74
2019-05-15,78
2019-05-16,71
2019-05-17,63
2019-05-18,59
2019-05-19,71
2019-05-20,78
2019-05-21,75
2019-05-22,72
2019-05-23,69
2019-05-24,64
2019-05-25,63
2019-05-26,74
2019-05-27,82
2019-05-28,78
2019-05-29,76
2019-05-30,76
2019-05-31,65
2019-06-01,69
2019-06-02,83
2019-06-03,88
2019-06-04,86
2019-06-05,82
2019-06-06,76
2019-06-07,70
2019-06-08,65
2019-06-09,81
2019-06-10,83
2019-06-11,86
2019-06-12,83
2019-06-13,79
2019-06-14,67
2019-06-15,64
2019-06-16,75
2019-06-17,85
2019-06-18,81
2019-06-19,78
2019-06-20,74
2019-06-21,65
2019-06-22,64
2019-06-23,77
2019-06-24,84
2019-06-25,82
2019-06-26,80
2019-06-27,73
2019-06-28,66
2019-06-29,68
