날짜,여성언더웨어/잠옷,남성언더웨어/잠옷
2019-07-01,48,7
2019-07-02,48,7
2019-07-03,46,7
2019-07-04,47,7
2019-07-05,44,6
2019-07-06,44,6
2019-07-07,51,8
2019-07-08,46,8
2019-07-09,44,7
2019-07-10,44,6
2019-07-11,41,6
2019-07-12,42,6
2019-07-13,49,7
2019-07-14,55,9
2019-07-15,51,8
2019-07-16,50,8
2019-07-17,50,8
2019-07-18,53,8
2019-07-19,48,7
2019-07-20,49,8
2019-07-21,58,9
2019-07-22,55,9
2019-07-23,61,9
2019-07-24,58,9
2019-07-25,54,8
2019-07-26,47,7
2019-07-27,50,8
2019-07-28,57,9
2019-07-29,51,9
2019-07-30,52,8
2019-07-31,52,8
2019-08-01,51,8
2019-08-02,48,7
2019-08-03,51,8
2019-08-04,54,9
2019-08-05,51,8
2019-08-06,53,8
2019-08-07,52,7
2019-08-08,51,7
2019-08-09,46,7
2019-08-10,50,7
2019-08-11,53,8
2019-08-12,47,7
2019-08-13,48,7
2019-08-14,46,7
2019-08-15,50,8
2019-08-16,41,6
2019-08-17,45,6
2019-08-18,45,7
2019-08-19,41,7
2019-08-20,39,7
2019-08-21,40,6
2019-08-22,36,6
2019-08-23,34,5
2019-08-24,33,5
2019-08-25,36,6
2019-08-26,33,6
2019-08-27,37,6
2019-08-28,37,6
2019-08-29,33,5
2019-08-30,29,4
2019-08-31,30,5
2019-09-01,36,6
2019-09-02,31,6
2019-09-03,32,6
2019-09-04,31,5
2019-09-05,30,5
2019-09-06,27,4
2019-09-07,32,5
2019-09-08,33,6
2019-09-09,29,5
2019-09-10,26,4
2019-09-11,22,4
2019-09-12,21,3
2019-09-13,20,3
2019-09-14,27,4
2019-09-15,37,7
2019-09-16,35,7
2019-09-17,34,6
2019-09-18,34,6
2019-09-19,33,6
2019-09-20,29,5
2019-09-21,33,6
2019-09-22,40,7
2019-09-23,34,6
2019-09-24,34,6
2019-09-25,33,6
2019-09-26,29,5
2019-09-27,28,5
2019-09-28,29,5
2019-09-29,35,5
2019-09-30,30,5
2019-10-01,32,5
2019-10-02,33,5
2019-10-03,36,5
2019-10-04,30,5
2019-10-05,33,5
2019-10-06,37,6
2019-10-07,36,6
2019-10-08,32,5
2019-10-09,40,7
2019-10-10,35,6
2019-10-11,30,5
2019-10-12,32,5
2019-10-13,36,6
2019-10-14,33,6
2019-10-15,34,6
2019-10-16,33,6
2019-10-17,33,6
2019-10-18,31,5
2019-10-19,32,6
2019-10-20,36,7
2019-10-21,34,7
2019-10-22,34,6
2019-10-23,33,6
2019-10-24,30,5
2019-10-25,26,5
2019-10-26,30,5
2019-10-27,37,7
2019-10-28,36,7
2019-10-29,34,7
2019-10-30,33,6
2019-10-31,30,6
2019-11-01,27,5
2019-11-02,33,6
2019-11-03,37,7
2019-11-04,34,7
2019-11-05,32,6
2019-11-06,32,6
2019-11-07,31,6
2019-11-08,32,6
2019-11-09,32,6
2019-11-10,39,8
2019-11-11,35,8
2019-11-12,34,7
2019-11-13,35,7
2019-11-14,34,7
2019-11-15,32,7
2019-11-16,33,7
