날짜,패션잡화
2019-06-30,71
2019-07-01,63
2019-07-02,63
2019-07-03,63
2019-07-04,62
2019-07-05,59
2019-07-06,64
2019-07-07,73
2019-07-08,67
2019-07-09,64
2019-07-10,65
2019-07-11,60
2019-07-12,57
2019-07-13,72
2019-07-14,81
2019-07-15,71
2019-07-16,68
2019-07-17,66
2019-07-18,66
2019-07-19,61
2019-07-20,69
2019-07-21,75
2019-07-22,66
2019-07-23,65
2019-07-24,65
2019-07-25,60
2019-07-26,59
2019-07-27,64
2019-07-28,72
2019-07-29,63
2019-07-30,62
2019-07-31,62
2019-08-01,62
2019-08-02,58
2019-08-03,61
2019-08-04,68
2019-08-05,60
2019-08-06,61
2019-08-07,62
2019-08-08,62
2019-08-09,58
2019-08-10,63
2019-08-11,69
2019-08-12,61
2019-08-13,61
2019-08-14,59
2019-08-15,71
2019-08-16,59
2019-08-17,64
2019-08-18,68
2019-08-19,60
2019-08-20,60
2019-08-21,62
2019-08-22,58
2019-08-23,55
2019-08-24,64
2019-08-25,70
2019-08-26,62
2019-08-27,63
2019-08-28,65
2019-08-29,63
2019-08-30,57
2019-08-31,66
2019-09-01,76
2019-09-02,67
2019-09-03,68
2019-09-04,66
2019-09-05,64
2019-09-06,58
2019-09-07,71
2019-09-08,74
2019-09-09,60
2019-09-10,58
2019-09-11,51
2019-09-12,49
2019-09-13,50
2019-09-14,69
2019-09-15,84
2019-09-16,75
2019-09-17,74
2019-09-18,71
2019-09-19,67
2019-09-20,63
2019-09-21,75
2019-09-22,84
2019-09-23,69
2019-09-24,68
2019-09-25,67
2019-09-26,65
2019-09-27,63
2019-09-28,70
2019-09-29,77
2019-09-30,66
2019-10-01,68
2019-10-02,70
2019-10-03,79
2019-10-04,66
2019-10-05,75
2019-10-06,82
2019-10-07,73
2019-10-08,65
2019-10-09,80
2019-10-10,68
2019-10-11,62
2019-10-12,71
2019-10-13,77
2019-10-14,66
2019-10-15,63
2019-10-16,64
2019-10-17,63
2019-10-18,59
2019-10-19,66
2019-10-20,75
2019-10-21,66
2019-10-22,66
2019-10-23,66
2019-10-24,64
2019-10-25,59
2019-10-26,67
2019-10-27,74
2019-10-28,67
2019-10-29,66
2019-10-30,63
2019-10-31,61
2019-11-01,59
2019-11-02,71
2019-11-03,78
2019-11-04,66
2019-11-05,66
2019-11-06,67
2019-11-07,65
2019-11-08,64
2019-11-09,70
2019-11-10,79
2019-11-11,69
2019-11-12,69
2019-11-13,70
2019-11-14,68
2019-11-15,66
2019-11-16,73
2019-11-17,86
2019-11-18,75
2019-11-19,77
2019-11-20,74
2019-11-21,69
2019-11-22,62
2019-11-23,70
2019-11-24,80
2019-11-25,73
2019-11-26,71
2019-11-27,73
2019-11-28,70
2019-11-29,64
2019-11-30,74
2019-12-01,90
2019-12-02,76
2019-12-03,78
2019-12-04,75
2019-12-05,76
2019-12-06,71
2019-12-07,77
2019-12-08,87
2019-12-09,76
2019-12-10,73
2019-12-11,72
2019-12-12,70
2019-12-13,64
2019-12-14,72
2019-12-15,81
2019-12-16,70
2019-12-17,71
2019-12-18,64
2019-12-19,59
2019-12-20,55
2019-12-21,63
2019-12-22,71
2019-12-23,59
2019-12-24,52
2019-12-25,70
2019-12-26,57
2019-12-27,54
2019-12-28,62
2019-12-29,68
2019-12-30,57
2019-12-31,51
2020-01-01,68
2020-01-02,64
2020-01-03,61
2020-01-04,73
2020-01-05,77
2020-01-06,66
2020-01-07,68
2020-01-08,65
2020-01-09,64
2020-01-10,59
2020-01-11,69
2020-01-12,76
2020-01-13,67
2020-01-14,65
2020-01-15,65
2020-01-16,63
2020-01-17,60
2020-01-18,69
2020-01-19,75
2020-01-20,62
2020-01-21,58
2020-01-22,56
2020-01-23,51
2020-01-24,49
2020-01-25,51
2020-01-26,69
2020-01-27,84
2020-01-28,68
2020-01-29,70
2020-01-30,69
2020-01-31,61
2020-02-01,77
2020-02-02,83
2020-02-03,66
2020-02-04,68
2020-02-05,67
2020-02-06,66
2020-02-07,63
2020-02-08,75
2020-02-09,83
2020-02-10,67
2020-02-11,70
2020-02-12,78
2020-02-13,73
2020-02-14,69
2020-02-15,83
2020-02-16,88
2020-02-17,73
2020-02-18,71
2020-02-19,69
2020-02-20,66
2020-02-21,58
2020-02-22,69
2020-02-23,67
2020-02-24,53
2020-02-25,59
2020-02-26,62
2020-02-27,60
2020-02-28,60
2020-02-29,69
2020-03-01,77
2020-03-02,59
2020-03-03,62
2020-03-04,64
2020-03-05,62
2020-03-06,60
2020-03-07,73
2020-03-08,76
2020-03-09,67
2020-03-10,70
2020-03-11,66
2020-03-12,63
2020-03-13,61
2020-03-14,71
2020-03-15,76
2020-03-16,63
2020-03-17,63
2020-03-18,62
2020-03-19,60
2020-03-20,58
2020-03-21,70
2020-03-22,76
2020-03-23,63
2020-03-24,62
2020-03-25,64
2020-03-26,64
2020-03-27,60
2020-03-28,67
2020-03-29,71
2020-03-30,62
2020-03-31,61
2020-04-01,66
2020-04-02,64
2020-04-03,60
2020-04-04,73
2020-04-05,77
2020-04-06,65
2020-04-07,66
2020-04-08,66
2020-04-09,65
2020-04-10,61
2020-04-11,75
2020-04-12,82
2020-04-13,68
2020-04-14,68
2020-04-15,86
2020-04-16,69
2020-04-17,68
2020-04-18,79
2020-04-19,89
2020-04-20,68
2020-04-21,70
2020-04-22,71
2020-04-23,67
2020-04-24,64
2020-04-25,77
2020-04-26,87
2020-04-27,72
2020-04-28,71
2020-04-29,66
2020-04-30,79
2020-05-01,80
2020-05-02,83
2020-05-03,91
2020-05-04,79
2020-05-05,100
2020-05-06,85
2020-05-07,79
2020-05-08,73
2020-05-09,87
2020-05-10,87
2020-05-11,75
2020-05-12,78
2020-05-13,77
2020-05-14,75
2020-05-15,73
2020-05-16,86
2020-05-17,97
2020-05-18,86
2020-05-19,84
2020-05-20,81
2020-05-21,77
2020-05-22,73
2020-05-23,86
2020-05-24,96
2020-05-25,78
2020-05-26,78
2020-05-27,78
2020-05-28,75
2020-05-29,71
2020-05-30,85
2020-05-31,97
2020-06-01,83
2020-06-02,84
2020-06-03,86
2020-06-04,85
2020-06-05,77
2020-06-06,91
2020-06-07,100
2020-06-08,86
2020-06-09,87
2020-06-10,88
2020-06-11,85
2020-06-12,77
2020-06-13,92
2020-06-14,99
2020-06-15,83
2020-06-16,84
2020-06-17,81
2020-06-18,80
2020-06-19,74
2020-06-20,86
2020-06-21,94
2020-06-22,86
2020-06-23,83
2020-06-24,86
2020-06-25,79
2020-06-26,73
2020-06-27,83
2020-06-28,93
2020-06-29,79
2020-06-30,76
